PLAYER_NAME,PLAYER_ID,Position_cluster,Position,DFGA_LT06,DFGA_6to10,DFGA_10to15,DFGA_15to3PT,DFGA_3PT,FG_LT_06_DefEPV,FG_6_to_10_DefEPV,FG_10_to_15_DefEPV,FG_15_to_3PT_DefEPV,FG3_DefEPV,LT5_OffEPV,5to10_OffEPV,10to15_OffEPV,15to3PT_OffEPV,3PT_OffEPV,BIG CLOSE RIM LT5,BIG CLOSE RIM 5TO10,BIG CLOSE RIM 10TO15,BIG CLOSE 15TO3,BIG CLOSE RIM 3,BIG STRETCH LT5,BIG STRETCH 5TO10,BIG STRETCH 10TO15,BIG STRETCH 15TO3,BIG STRETCH 3,BALLH PENETRATE LT5,BALLH PEN 5TO10,BALLH PEN 10TO15,BALLH PEN 15TO3,BALLH PEN 3,BALLH PER LT5,BALLH PER 5TO10,BALLH PER 10TO15,BALLH PER 15TO3,BALLH PER 3,WING SLASH LT5,WING SLASH 5TO10,WING SLASH 10TO15,WING SLASH 15TO3,WING SLASH 3,WING PER LT5,WING PER 5TO10,WING PER 10TO15,WING PER 15TO3,WING PER 3,BIG SCORE CLOSE LT5,BIG SCORE CLOSE 5TO10,BIG SCORE CLOSE 10TO15,BIG SCORE CLOSE 15TO3PT,BIG SCORE CLOSE 3,BIG SCORE STRETCH LT5,BIG SCORE STRETCH 5TO10,BIG SCORE STRETCH 10TO15,BIG SCORE STRETCH 15TO3,BIG SCORE STRETCH 3,BALLH PEN SCORE LT5,BALLH PENSCORE 5TO10,BALLH PEN SCORE 10TO15,BALLH PEN SCORE 15TO3,BALLH PEN SCORE 3,BALLH PER SCORE LT5,BALLH PER SCORE 5TO10,BALLH PER SCORE 10TO15,BALLH PER SCORE 15TO3,BALL PER SCORE 3,WING SLASH SCORE LT5,WING SLASH SCORE 5TO10,WING SLASH SCORE 10TO15,WING SLASH SCORE 15TO3 ,WING SLASH SCORE 3,WING PER SCORE LT5,WING PER SCORE 5TO10 ,WING PER SCORE 10TO15,WING PER SCORE 15TO3 ,WING PER SCORE 3,BIG CLOSE,BIG STRETCH,BALLH PEN,BALLH PER,WING SLASH,WING PER,Total
DeAndre Jordan,201599,0,Big,0.374100719,0.143884892,0.097122302,0.190647482,0.194244604,-4.52,-2.44,-1.58,-3.02,-5.16,13.6,0.6,0,0,0,4.081635744,0.506626278,0.165107914,0.547860659,0.524460432,2.367422289,0.320347496,0.145500204,0.626618705,1.095099769,3.535251799,0.345323741,0.210431655,0.940527578,2.68057554,2.508765233,0.268976655,0.16887388,0.820173249,2.892262517,3.293826334,0.356700686,0.217282918,0.879638615,2.288924209,1.999503845,0.226577359,0.154949144,0.695972877,2.564028777,-0.438364256,-1.933373722,-1.414892086,-2.472139341,-4.635539568,-2.152577711,-2.119652504,-1.434499796,-2.393381295,-4.064900231,-0.984748201,-2.094676259,-1.369568345,-2.079472422,-2.47942446,-2.011234767,-2.171023345,-1.41112612,-2.199826751,-2.267737483,-1.226173666,-2.083299314,-1.362717082,-2.140361385,-2.871075791,-2.520496155,-2.213422641,-1.425050856,-2.324027123,-2.595971223,-6.258769406,-12.16501154,-9.007889688,-10.06094847,-9.683627238,-11.078968,-58.25521434
Robin Lopez,201577,0,Big,0.485943775,0.126506024,0.081659973,0.176706827,0.1291834,-6.84,-2.18,-1.28,-2.7,-3.36,7.8,4.4,1.2,5.8,0,5.301902346,0.445434369,0.138821954,0.50779962,0.348795181,3.075198909,0.281654922,0.122335884,0.580798666,0.728301887,4.592168675,0.303614458,0.176929942,0.871753681,1.782730924,3.258798459,0.236488812,0.141988362,0.760199984,1.923514466,4.278565424,0.31361726,0.182690452,0.815317082,1.522261138,2.597285695,0.199210636,0.130280509,0.645081475,1.705220884,-1.538097654,-1.734565631,-1.141178046,-2.19220038,-3.011204819,-3.764801091,-1.898345078,-1.157664116,-2.119201334,-2.631698113,-2.247831325,-1.876385542,-1.103070058,-1.828246319,-1.577269076,-3.581201541,-1.943511188,-1.138011638,-1.939800016,-1.436485534,-2.561434576,-1.86638274,-1.097309548,-1.884682918,-1.837738862,-4.242714306,-1.980789364,-1.149719491,-2.054918525,-1.654779116,-6.606041711,-11.57170973,-8.63280232,-10.03900992,-9.247548644,-11.0829208,-57.18003313
Brook Lopez,201572,0,Big,0.337807606,0.148396719,0.10738255,0.233407905,0.17300522,-3.94,-2.54,-1.66,-3.3,-4.44,9.8,6.8,3,1.4,15.6,3.685658778,0.522512657,0.182550336,0.67074061,0.467114094,2.137748512,0.330392695,0.160871217,0.767163339,0.975357731,3.192281879,0.356152125,0.232662192,1.151478996,2.387472036,2.265379172,0.277411009,0.186714149,1.004130332,2.576012418,2.974278133,0.367885819,0.240237241,1.076933215,2.038645232,1.805523413,0.233682189,0.171318368,0.852072994,2.283668904,-0.254341222,-2.017487343,-1.477449664,-2.62925939,-3.972885906,-1.802251488,-2.209607305,-1.499128783,-2.532836661,-3.464642269,-0.747718121,-2.183847875,-1.427337808,-2.148521004,-2.052527964,-1.674620828,-2.262588991,-1.473285851,-2.295869668,-1.863987582,-0.965721867,-2.172114181,-1.419762759,-2.223066785,-2.401354768,-2.134476587,-2.306317811,-1.488681632,-2.447927006,-2.156331096,-6.378537619,-11.50846651,-8.559952772,-9.57035292,-9.18202036,-10.53373413,-55.73306431
DeMarcus Cousins,202326,2,Wing,0.404814004,0.130561634,0.079504012,0.15536105,0.2297593,-5.1,-2,-1.28,-2.46,-5.85,18,4.2,1.8,6.2,15,4.416733848,0.459714384,0.13515682,0.446458597,0.620350109,2.561785228,0.290684392,0.11910601,0.510639528,1.295322241,3.825492341,0.313347921,0.172258692,0.766447848,3.170678337,2.714732282,0.24407032,0.138239628,0.66836958,3.421069084,3.564246094,0.323671399,0.177867114,0.71682866,2.70741947,2.163661058,0.205597056,0.126840883,0.567157122,3.032822757,-0.683266152,-1.540285616,-1.14484318,-2.013541403,-5.229649891,-2.538214772,-1.709315608,-1.16089399,-1.949360472,-4.554677759,-1.274507659,-1.686652079,-1.107741308,-1.693552152,-2.679321663,-2.385267718,-1.75592968,-1.141760372,-1.79163042,-2.428930916,-1.535753906,-1.676328601,-1.102132886,-1.74317134,-3.14258053,-2.936338942,-1.794402944,-1.153159117,-1.892842878,-2.817177243,-5.381936351,-11.9124626,-8.44177486,-9.503519106,-9.199967262,-10.59392112,-55.0335813
Steven Adams,203500,0,Big,0.373079737,0.138258961,0.096561814,0.191660571,0.200438917,-3.92,-2.2,-1.42,-3.24,-5.34,11.2,4.4,0.8,0,0,4.070496285,0.486817079,0.164155084,0.550771955,0.541185077,2.360961201,0.307821838,0.144660529,0.629948517,1.13002167,3.525603511,0.331821507,0.209217264,0.945525482,2.766057059,2.501918397,0.258459609,0.167899318,0.824531598,2.984494573,3.284836937,0.342753611,0.216028989,0.884312958,2.361916265,1.994046868,0.217718134,0.15405494,0.699671232,2.645793709,0.150496285,-1.713182921,-1.255844916,-2.689228045,-4.798814923,-1.559038799,-1.892178162,-1.275339471,-2.610051483,-4.20997833,-0.394396489,-1.868178493,-1.210782736,-2.294474518,-2.573942941,-1.418081603,-1.941540391,-1.252100682,-2.415468402,-2.355505427,-0.635163063,-1.857246389,-1.203971011,-2.355687042,-2.978083735,-1.925953132,-1.982281866,-1.26594506,-2.540328768,-2.694206291,-5.507759596,-11.54658624,-8.341775177,-9.382696505,-9.030151239,-10.40871512,-54.21768388
LaMarcus Aldridge,200746,0,Big,0.324476651,0.137681159,0.098228663,0.214975845,0.224637681,-4.08,-2.12,-1.4,-3.08,-5.49,7.8,4.2,4.2,11.4,2.4,3.540211035,0.484782609,0.166988728,0.617772693,0.606521739,2.0533862,0.306535412,0.147157658,0.706580986,1.266447908,3.066304348,0.330434783,0.212828771,1.060547504,3.1,2.175980151,0.257379474,0.170797594,0.924834861,3.344809228,2.856903719,0.3413212,0.21975808,0.991888552,2.647067745,1.734271753,0.216808263,0.156714235,0.784785385,2.965217391,-0.539788965,-1.635217391,-1.233011272,-2.462227307,-4.883478261,-2.0266138,-1.813464588,-1.252842342,-2.373419014,-4.223552092,-1.013695652,-1.789565217,-1.187171229,-2.019452496,-2.39,-1.904019849,-1.862620526,-1.229202406,-2.155165139,-2.145190772,-1.223096281,-1.7786788,-1.18024192,-2.088111448,-2.842932255,-2.345728247,-1.903191737,-1.243285765,-2.295214615,-2.524782609,-5.870244936,-11.68989184,-8.399884595,-9.296198692,-9.113060705,-10.31220297,-54.68148374
Blake Griffin,201933,0,Big,0.268330733,0.092043682,0.085023401,0.196567863,0.358034321,-2.32,-1.48,-1.38,-3.06,-9.3,14.4,2.8,1.4,9.4,5.7,2.927629526,0.324090648,0.144539782,0.564873963,0.966692668,1.698077885,0.204927442,0.12737468,0.646077768,2.018502929,2.535725429,0.220904836,0.184217369,0.969734789,4.940873635,1.799458754,0.172065332,0.147836607,0.845642969,5.331057977,2.362558502,0.228182709,0.190215143,0.906954976,4.218976527,1.434181505,0.144942349,0.135646529,0.717585669,4.726053042,0.607629526,-1.155909352,-1.235460218,-2.495126037,-8.333307332,-0.621922115,-1.275072558,-1.25262532,-2.413922232,-7.281497071,0.215725429,-1.259095164,-1.195782631,-2.090265211,-4.359126365,-0.520541246,-1.307934668,-1.232163393,-2.214357031,-3.968942023,0.042558502,-1.251817291,-1.189784857,-2.153045024,-5.081023473,-0.885818495,-1.335057651,-1.244353471,-2.342414331,-4.573946958,-4.278866081,-12.8450393,-8.688543942,-9.243938362,-9.633112143,-10.38159091,-55.07109074
Andre Roberson,203460,2,Wing,0.332522303,0.141119221,0.078669911,0.158150852,0.289537713,-3.38,-2.4,-1.4,-2.46,-7.14,6.6,0.2,0,0.2,6.9,3.627993341,0.496888206,0.133738848,0.454475605,0.781751825,2.10430152,0.314189965,0.117856432,0.519809025,1.632337144,3.142335766,0.338686131,0.170451473,0.780210868,3.995620438,2.229935283,0.263806545,0.136789314,0.680371419,4.311157456,2.927742885,0.349844395,0.176001056,0.729700673,3.411831608,1.77727438,0.222222222,0.125510157,0.5773415,3.82189781,0.247993341,-1.903111794,-1.266261152,-2.005524395,-6.358248175,-1.27569848,-2.085810035,-1.282143568,-1.940190975,-5.507662856,-0.237664234,-2.061313869,-1.229548527,-1.679789132,-3.144379562,-1.150064717,-2.136193455,-1.263210686,-1.779628581,-2.828842544,-0.452257115,-2.050155605,-1.223998944,-1.730299327,-3.728168392,-1.60272562,-2.177777778,-1.274489843,-1.8826585,-3.31810219,-4.926904,-12.09150591,-8.352695323,-9.157939984,-9.184879383,-10.25575393,-53.96967853
Kevin Love,201567,2,Wing,0.374534624,0.148920328,0.083395383,0.143708116,0.249441549,-3.46,-2.5,-1.48,-2.06,-6.81,7,3.6,2.2,3,19.5,4.086369871,0.524356311,0.141772152,0.412971744,0.673492182,2.370168168,0.331558465,0.124935725,0.472338752,1.406285562,3.539352197,0.357408786,0.180689998,0.70896004,3.442293373,2.51167505,0.278389837,0.14500585,0.618238181,3.714133755,3.297646712,0.369183882,0.186572928,0.663062564,2.939349599,2.00182299,0.234506723,0.133049187,0.524617215,3.292628444,0.626369871,-1.975643689,-1.338227848,-1.647028256,-6.136507818,-1.089831832,-2.168441535,-1.355064275,-1.587661248,-5.403714438,0.079352197,-2.142591214,-1.299310002,-1.35103996,-3.367706627,-0.94832495,-2.221610163,-1.33499415,-1.441761819,-3.095866245,-0.162353288,-2.130816118,-1.293427072,-1.396937436,-3.870650401,-1.45817701,-2.265493277,-1.346950813,-1.535382785,-3.517371556,-4.334529921,-11.60471333,-8.081295607,-9.042557327,-8.854184315,-10.12337544,-52.04065594
Jrue Holiday,201950,1,Ball-Handler,0.1925,0.080833333,0.0925,0.186666667,0.4475,-1.64,-1.46,-1.6,-2.5,-10.83,9.4,2.6,1.8,4.6,12.6,2.100276316,0.284618421,0.15725,0.536421053,1.20825,1.218198113,0.179968553,0.138575472,0.613534591,2.522886792,1.819125,0.194,0.200416667,0.920888889,6.1755,1.290928571,0.151108844,0.160836735,0.803047619,6.663183673,1.694895349,0.200391473,0.20694186,0.861271318,5.273215116,1.02887931,0.127289272,0.147574713,0.681440613,5.907,0.460276316,-1.175381579,-1.44275,-1.963578947,-9.62175,-0.421801887,-1.280031447,-1.461424528,-1.886465409,-8.307113208,0.179125,-1.266,-1.399583333,-1.579111111,-4.6545,-0.349071429,-1.308891156,-1.439163265,-1.696952381,-4.166816327,0.054895349,-1.259608527,-1.39305814,-1.638728682,-5.556784884,-0.61112069,-1.332710728,-1.452425287,-1.818559387,-4.923,-4.121434211,-13.35683648,-8.720069444,-8.960894558,-9.793284884,-10.13781609,-55.09033567
